customer_unique_id,Recency,Frequency,Monetary
0000366f3b9a7992bf8c76cfdf3221e2,113,1,141.9
000ec5bff359e1c0ad76a81a45cb598f,10,1,27.75
00172711b30d52eea8b313a7f2cced02,34,1,122.07
001928b561575b2821c92254a2327d06,6,1,329.62
0019e8c501c85848ac0966d45226fa1d,122,1,197.27
002311514717ca8b65b09a26cdf7b91a,65,1,124.32
0025795df7a7d077c4c90162fa820085,38,1,428.16
0034c76b7e6a17d738375b99afc2f01e,115,1,44.23
0035029989e6fc5cf030918a5f9f2037,110,1,1092.24
003c2067070f5b3d923235b1ea1cc17b,24,1,147.38
0042dfa8925d6eb23e471ec350454f04,36,1,62.91
004df63539fd5e38d4b0a0506de7549c,46,1,993.55
00504b68faa074d0f40adcb4f7727f71,19,1,397.4
0056c2dd794a5eede6164dcae635875a,22,1,171.88
005d8faa4cf789cf52fb880a8569880a,112,1,89.25
0064c96f536ac6250275482221834154,71,1,65.33
0067d2652c12515146721538868bbd80,73,1,190.28
0068bd2e9e76c018846dbc6e2bec5ac5,66,1,79.51
007b8307b6448f0425ff2001f00c1bdb,108,1,40.94
008ca52811784a181c8c88e8d66b49db,15,1,136.64
008ea5bdd1a99fb584cce7739349da75,139,1,64.04
00a02d822b18db532e50e0607e615f3b,17,1,199.26
00ad4e6c01a3039fa1b45eaadb4222e4,69,1,78.51
00ae50eb5e1d2514f694dee1dcbbd5ae,112,1,1380.5500000000002
00b9746bf8ac2964942d8b969f015196,30,1,94.36
00c8c7f0cafacc30bfda2a9a7445ec80,34,1,85.27
00d447911e5d5ae87480df8734b915f2,29,1,280.65
00d7812c158831a996a6b3f4698643b5,11,1,23.28
00d8a60ad2500432d9edd109cfddfd9e,113,1,71.85
00df047af693b421c167e27932bfd6c5,57,1,168.08
00e130c15fdc51673742f622aa7eb63c,46,1,123.49
00f326313b0a02392c17028f78338df0,11,1,39.37
00fd18b088edb95d1a35457f1c0e1bfa,89,1,108.2
00fd4a627a3b93cff0729f0b3554640d,27,1,678.9300000000001
01007c64cbffc1eef7ee682dae0ddbfe,40,1,199.4
010a0365ab237a5e2fed9d945121b627,47,1,73.47
011733687890faf081be6fde9e7cc7a0,71,1,129.72
0117fb2675e2936a2e96dee22e8c992b,108,1,98.09
012452d40dafae4df401bced74cdb490,109,1,340.07
013dd47ed31ce4de00cb434b2cae5386,141,1,139.03
013ef03e0f3f408dd9bf555e4edcdc0a,42,2,245.37
01462a1d33f1b303bead3ec1ae2c4f7e,52,1,142.71
01541e2754a6e7830b2871d7191d27e2,20,1,58.05
015613e1b7c050cd2331d34076fce1c6,153,1,98.6
0156e3456c1959644b2da32c2cee358c,28,1,93.28
015b72d1a4ec2bfcf75518ada117c62b,44,1,523.6
0165dc4e0c64d7c1e17757ab8676f213,92,1,117.51
016dc4411329d2b3292a0fbf1402e95e,72,1,238.44
0178b244a5c281fb2ade54038dd4b161,34,1,473.58000000000004
01798446b9d249eb006931079a273601,49,1,88.09
017ae1edebbc1749a64a520e37633c3c,121,1,412.42
017c4e59e1a95482f32f65e03a46af95,106,1,82.92
017c5a91ab1759799a4d68be8091b8ab,127,1,83.37
017fe3adcd1989f1ea8bac1848bd1b94,94,1,42.79
018864afd6d3af6af6e3cf1245fc5ff8,112,1,17.29
01922cf678f7c6d925421a273a885fbf,65,1,104.84
0196285e88e29cdf2c0afba10cddd9f0,45,1,37.25
019ea19e666644625032de5efe2ceb71,108,1,109.42
019fcfdd0b0ec239cc2b536428064c47,51,1,688.56
01a4fe5fc00bbdb0b0a4af5a5345cca5,92,1,472.72
01a551a1f8c7955ba259897b2e3d2e30,9,1,55.38
01b3e064c4fc4372a269bdc02c131850,3,1,301.8
01c849814dd6cd478f0ee6343414acb7,49,1,115.0
01cbe0a1a969bf0936fd97298ae18cc8,116,1,163.89
01e123d7c7cedf12af483fc17258b9ce,83,1,3790.88
01ecdc37f767e85f5b3fd2310a289253,16,1,721.74
01f2285f85a1c603eb7ef755ad311769,91,1,271.64
02068e4fb8a2f9434c60eb29751b0783,127,1,145.37
020ae51ab502504a00ab6ccbac53bfa6,17,1,812.76
020c0844de3cbc0e65fe2cd62ddbc985,140,1,129.32
0220755d57fdf6a1f63f39f51bb5fb90,108,1,69.16
022657d659cf88bcc8c22774f3f0b61a,9,1,73.61
